,width,module,t,l1
332,2048,layers.2.query,2,0.16122350096702576
333,2048,layers.2.key,2,0.15707577764987946
334,2048,layers.2.value,2,0.1621721237897873
335,2048,layers.2,2,0.1621721237897873
336,2048,layers.3.query,2,0.12229496240615845
337,2048,layers.3.key,2,0.11628807336091995
338,2048,layers.3.value,2,0.12139161676168442
339,2048,layers.3,2,0.12139161676168442
340,2048,fout,2,0.058184914290905
341,2048,,2,0.058184914290905
342,4096,fin,0,0.7988824844360352
343,4096,layers.0.query,0,0.5606533288955688
344,4096,layers.0.key,0,0.5624681115150452
345,4096,layers.0.value,0,0.5628334879875183
346,4096,layers.0,0,0.3314320743083954
347,4096,layers.1.query,0,0.2283448427915573
348,4096,layers.1.key,0,0.23269470036029816
349,4096,layers.1.value,0,0.23543527722358704
350,4096,layers.1,0,0.2332807034254074
351,4096,layers.2.query,0,0.1615886390209198
352,4096,layers.2.key,0,0.1679946780204773
353,4096,layers.2.value,0,0.16637186706066132
354,4096,layers.2,0,0.16637185215950012
355,4096,layers.3.query,0,0.12361430376768112
356,4096,layers.3.key,0,0.11976416409015656
357,4096,layers.3.value,0,0.1222844123840332
358,4096,layers.3,0,0.1222844123840332
359,4096,fout,0,0.06032772362232208
360,4096,,0,0.06032772362232208
361,4096,fin,1,0.7990217804908752
362,4096,layers.0.query,1,0.5608536601066589
363,4096,layers.0.key,1,0.5626009106636047
364,4096,layers.0.value,1,0.5635536909103394
365,4096,layers.0,1,0.3360650837421417
366,4096,layers.1.query,1,0.232390895485878
367,4096,layers.1.key,1,0.2356625199317932
368,4096,layers.1.value,1,0.2396964728832245
369,4096,layers.1,1,0.2373056262731552
370,4096,layers.2.query,1,0.16517041623592377
371,4096,layers.2.key,1,0.17163842916488647
372,4096,layers.2.value,1,0.1708918809890747
373,4096,layers.2,1,0.17089185118675232
374,4096,layers.3.query,1,0.1273987591266632
375,4096,layers.3.key,1,0.1231566071510315
376,4096,layers.3.value,1,0.12683652341365814
377,4096,layers.3,1,0.12683652341365814
378,4096,fout,1,0.05613601207733154
379,4096,,1,0.05613601207733154
380,4096,fin,2,0.7994076013565063
381,4096,layers.0.query,2,0.5614911913871765
382,4096,layers.0.key,2,0.562955379486084
383,4096,layers.0.value,2,0.5651777386665344
384,4096,layers.0,2,0.34917548298835754
385,4096,layers.1.query,2,0.24306939542293549
386,4096,layers.1.key,2,0.2457692176103592
387,4096,layers.1.value,2,0.25185996294021606
388,4096,layers.1,2,0.2489781379699707
389,4096,layers.2.query,2,0.17529898881912231
390,4096,layers.2.key,2,0.18186745047569275
391,4096,layers.2.value,2,0.18276286125183105
392,4096,layers.2,2,0.18276286125183105
393,4096,layers.3.query,2,0.13728417456150055
394,4096,layers.3.key,2,0.13262803852558136
395,4096,layers.3.value,2,0.1378001570701599
396,4096,layers.3,2,0.1378001570701599
397,4096,fout,2,0.053119465708732605
398,4096,,2,0.053119465708732605
399,8192,fin,0,0.8027874827384949
400,8192,layers.0.query,0,0.5685182213783264
401,8192,layers.0.key,0,0.5699728727340698
402,8192,layers.0.value,0,0.5704889893531799
403,8192,layers.0,0,0.3496896028518677
404,8192,layers.1.query,0,0.2447047233581543
405,8192,layers.1.key,0,0.24606159329414368
406,8192,layers.1.value,0,0.24192270636558533
407,8192,layers.1,0,0.23695224523544312
408,8192,layers.2.query,0,0.17106039822101593
409,8192,layers.2.key,0,0.1683071106672287
410,8192,layers.2.value,0,0.16687315702438354
411,8192,layers.2,0,0.16687312722206116
412,8192,layers.3.query,0,0.11674073338508606
413,8192,layers.3.key,0,0.1190183088183403
414,8192,layers.3.value,0,0.11664886772632599
415,8192,layers.3,0,0.11664886772632599
416,8192,fout,0,0.06016528233885765
417,8192,,0,0.06016528233885765
418,8192,fin,1,0.8029922246932983
419,8192,layers.0.query,1,0.5698066353797913
420,8192,layers.0.key,1,0.5701940059661865
421,8192,layers.0.value,1,0.5715948343276978
422,8192,layers.0,1,0.4077516198158264
423,8192,layers.1.query,1,0.28662800788879395
424,8192,layers.1.key,1,0.28804048895835876
425,8192,layers.1.value,1,0.2864210903644562
426,8192,layers.1,1,0.2807700037956238
427,8192,layers.2.query,1,0.20267140865325928
428,8192,layers.2.key,1,0.19874384999275208
429,8192,layers.2.value,1,0.20031467080116272
430,8192,layers.2,1,0.20031426846981049
431,8192,layers.3.query,1,0.14127890765666962
432,8192,layers.3.key,1,0.14288511872291565
433,8192,layers.3.value,1,0.1436128318309784
434,8192,layers.3,1,0.1436128318309784
435,8192,fout,1,0.05321292206645012
436,8192,,1,0.05321292206645012
437,8192,fin,2,0.8035334944725037
438,8192,layers.0.query,2,0.571211040019989
439,8192,layers.0.key,2,0.5706230401992798
440,8192,layers.0.value,2,0.5751043558120728
441,8192,layers.0,2,0.5039435029029846
442,8192,layers.1.query,2,0.35737693309783936
443,8192,layers.1.key,2,0.3586585819721222
444,8192,layers.1.value,2,0.3617681562900543
445,8192,layers.1,2,0.35565856099128723
446,8192,layers.2.query,2,0.26041749119758606
447,8192,layers.2.key,2,0.2544698417186737
448,8192,layers.2.value,2,0.2612403929233551
449,8192,layers.2,2,0.261238157749176
450,8192,layers.3.query,2,0.18750232458114624
451,8192,layers.3.key,2,0.18866753578186035
452,8192,layers.3.value,2,0.19270314276218414
453,8192,layers.3,2,0.19270314276218414
454,8192,fout,2,0.04850998893380165
455,8192,,2,0.04850998893380165
